Artikelnummer im Shop;EAN / Barcodenummer;Original Herstellerartikelnummer;Herstellername;Produktname;Produktgruppe im Shop;Preis (Brutto);Lieferzeit;ProduktURL;BildURL_1 (großes Bild);BildURL_2 (großes Bild);BildURL_3 (großes Bild);Vorkasse;Vorkasse / Paypal Österreich;Nachnahme;Kreditkarte (z.B. nur bis 1000 EUR);Paypal;Sofortüberweisung;Bankeinzug;Rechnung;Moneybookers;Click & Buy;Giropay;Versandkosten Kommentar (max. 100 Zeichen);Produktbeschreibung (max. 1000 Zeichen);Grundpreis (Produktabhängig)
RUSS10986075;4048792000545;109860075;RUSSKA;Bettschutzeinlage Molton Standard;Pflege > Inkontinenz Produkte > Bettschutzeinlagen;12.9900;3-4 Tage;https://www.brandvital.de/bettschutzeinlage-molton-standard.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/b/e/bettschutzeinlage_molton_standard.jpg;;;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;;<p><strong>Bettschutzeinlage »Molton Standard«<br /></strong><br />Diese Bettschutzeinlage schützt sowohl den Pflegebedürftigen als auch die Matratze vor Verunreinigungen und Feuchtigkeit. Sie ist hautfreundlich, wasserundurchlässig, bakterien, urin- und blutbeständig. Anwendung erfolgt über dem Bettlaken. Sie sollte daher über dem Bettlaken eingelegt werden.</p><br /><p>Material:<br />- Oberseite: Molton aus 100 % Baumwolle.<br />- Unterseite: 100 % PVC.</p><br /><p>100cm x 75cm = Artikelnumer:<span>10986075<br />100cm x 150cm = Artikelnummer: 10986150<em> </em></span></p><br /><p><span><br /></span></p><br /><p><span></span></p>;;
RUSS10981075;4048792000385;10981075;RUSSKA;Frottee Bettschutzeinlage Standard;Pflege > Inkontinenz Produkte > Bettschutzeinlagen;9.99;3-4 Tage;https://www.brandvital.de/frottee-bettschutzeinlage-standard.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/b/e/bettschutzeinlage-frottee-standard-russka.jpg;;;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;;<p><strong>Bettschutzeinlage »Frottee Standard«<br /></strong><br />Diese Bettschutzeinlage schützt sowohl den Pflegebedürftigen als auch die Matratze vor Verunreinigungen und Feuchtigkeit. Sie ist wasser- und allergenundurchlässig und sollte über dem Bettlaken eingelegt <br />werden. Die Einlage ist für max. 150 Waschzyklen geeignet.</p><br /><p>Material: <br />- Oberseite: Frottee aus 80 % Baumwolle, 20 % Polyester.<br />- Unterseite: 100 % PVC.</p>;;
RFM-0537422;4041314026320;0537422;Rehaforum;Rollator Actimo Premium XL;Mobilität > Rollatoren und Zubehör > Rollatoren;279.0000;3-4 Tage;https://www.brandvital.de/rollator-actimo-xl.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/r/f/rfm-libertyz-city-rollator-xl.jpg;;;0;0;0;0;0;0;0;0;0;0;0;;<p>Den beliebten Rollator Actimo gibt es jetzt auch als XL Version mit einer <strong>maximalen Belastbarkeit von 225 kg</strong> und einer Breite von 74cm.</p><br /><p><span></span></p><br /><p>Er ist leicht faltbar und kann somit leicht transportiert und platzsparend aufbewahrt werden.</p><br /><p>Mit einem Gewicht von nur 9,5 kg ist er dazu auch noch extrem leicht. Ebenfalls verfügt er über einen Rückengurt, Stockhalter und eine Einkaufstasche.</p>;;
TRE-10000229;04260485211254;10000229;Trendmobil;Scooter Cordis HMV;Mobilität > Elektromobile und Zubehör > Elektromobile;1555.0000;3-4 Tage;https://www.brandvital.de/cordishmv.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/e/l/elektromobil-trendmobil-cordis-hmv-von-der-seite_1.jpg;https://www.brandvital.de/pub/media/catalog/product/e/l/elektromobil-trendmobil-cordis-hmv-von-vorne_1.jpg;https://www.brandvital.de/pub/media/catalog/product/e/l/elektromobil-trendmobil-cordis-hmv_1.jpg;0;0;0;0;0;0;0;0;0;0;0;;<p><strong>Elektromobil Trendmobil Cordis HMV</strong></p><br /><p><strong>Mit dem Cordis HMV hat Trendmobil einen E-Scooter konzipiert, der die Auflagen der ÖPNV (Öffentlichen Personennahverkehr) erfüllt</strong>. In diesem Zusammenhang wurden die Anforderungen der technischen Einrichtungen des E-Mobils (Cordis HMV) geprüft. Das E-Mobil ist mit den erforderlichen Kennzeichnungen ausgestattet. Darüber hinaus erhält der Nutzer ein Dokument, mit dem er die Erfüllung der Auflagen dem Personal der Linienbusse dokumentieren kann.</p><br /><p> Der Scooter ist bei<strong> </strong>uns mit 50 Ah Batterien ausgestattet.</p><br /><p><strong>Merkmale im Überblick:</strong></p><br /><ul><br /><li>Deltalenker und Kapitänssitz</li><br /><li>automatische Magnetbremse</li><br /><li>Beleuchtung vorne und hinten</li><br /><li>Hupe und Blinkanlage</li><br /><li>Luftbereifung</li><br /><li>Lenksäule stufenlos verstellbar</li><br /><li>Armlehnen breitenverstellbar</li><br /><li>Federung vorne u. hinten</li><br /><li>50 Ah Batterien</li><br /><li>optional Spiegel rechts<br /><br /></li><br /></ul><br /><p><strong>Technische Daten:</strong></p><br /><ul><br /><li>Länge: 119 cm</li><br /><li>Breite: 60 cm</li><br /><li>Sitztiefe: 44 cm</li><br /><li>Sitzbreite: 47 cm</li><br /><li>Sitzhöhe: 58-66 cm</li><br /><li>Bodenfreiheit: 9,3 cm</li><br /><li>Gewicht: 97 kg</li><br /><li>Belastbarkeit: 160 kg</li><br /><li>Farbe: rot</li><br /><li>Geschwindigkeit: 6 km/h</li><br /><li>Reichweite: bis zu 40 km</li><br /><li>Motorleistung: 400 Watt</li><br /><li>Batterie: 2 x12 V 50 Ah </li><br /><li>Steigfähigkeit: 16 %</li><br /><li>Räder: 3.00-4</li><br /><li>Versicherungspflicht: Nein</li><br /></ul>;;
1689593;;01689593;Rehaforum;Beistelltisch weiß von Rehaforum;Pflege > Pflegebetten und Zubehör > Pflegenachttische / Betttische ;64.9000;3-4 Tage;https://www.brandvital.de/stabiler-beistelltisch-weiss-von-rehaforum.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/r/e/rehaforum-beistelltisch-01689593.jpg;;;0;0;0;0;0;0;0;0;0;0;0;;<p><span>Der höhenverstellbare Bett-Tisch RFM ist variabel und durch seine 4 Rollen auch mobil einsetzbar. 2 Feststellbremsen und chrombeschichtete Stahlrohre sorgen aber dann für einen festen Stand am Einsatzort. Bei Nichtgebrauch ist er auch leicht zusammenfaltbar für eine effektive Lagerung. Der Bett-Tisch ist in zwei Farben zu haben.</span></p><br /><ul><br /><li>Gesamtbreite: 61 cm</li><br /><li>Gesamttiefe: 45 cm</li><br /><li>Tischplatte: 62 x 41 cm</li><br /><li>Höhe: verstellbar 65 - 94 cm</li><br /><li>Maße gefaltet: 57 x 85 cm</li><br /><li>Eigengewicht: 7,5 kg</li><br /><li>Max Belastbarkeit horizontal: 15 kg</li><br /><li>Max. Belastbarkeit geneigt: 10 kg</li><br /><li>weiß</li><br /></ul>;;
DI-1020XX;;102045;Dietz;Standardrollstuhl Basik mit Feststellbremse;Mobilität > Rollstühle und Zubehör > Standard Rollstühle;199.0000;3-4 Tage;https://www.brandvital.de/dietz-standardrollstuhl-basik-mit-feststellbremse.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/r/o/rollstuhl_basik_1.jpg;;;0;0;0;0;0;0;0;0;0;0;0;;<p><span>Durch die Reduktion auf die wesentlichen Basisfunktionen bietet der BASIK ein sehr gutes Preis-Leistungs-Verhältnis und erfüllt dennoch die Grundanforderungen bei der täglichen Versorgung im stationären und im häuslichen Bereich.</span><br /><br /><span>Produktdetails</span></p><br /><ul><br /><li>Farbe: Mangan-Grey-Metallic</li><br /><li>Stahlrohrrahmen</li><br /><li>Antriebsrad 24" PU, inkl. Steckachse, Aluminium Greifreifen</li><br /><li>Lenkrad 7" PU</li><br /><li>Seitenteil zum hochklappen und abnehmen</li><br /><li>Armauflage PU, einstellbar in der Länge (Desk / Long), in der Höhe (3 cm)</li><br /><li>Beinstützen, nach außen schwenkbar, abnehmbar</li><br /><li>Fußplatten in der Höhe einstellbar</li><br /><li>Fersenband verstellbar (velcro)</li><br /><li>Sitztiefe einstellbar (40 / 44 cm)</li><br /><li>Maximale Tragkraft 130kg</li><br /></ul>;;
DZ-1021XX;;102145;Dietz;Standardrollstuhl Basik mit TB und Feststellbremse;Mobilität > Rollstühle und Zubehör > Standard Rollstühle;279.0000;3-4 Tage;https://www.brandvital.de/dietz-standardrollstuhl-basik-mit-trommelbremse.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/r/o/rollstuhl_basik_1_1.jpg;;;0;0;0;0;0;0;0;0;0;0;0;;<p><span>Durch die Reduktion auf die wesentlichen Basisfunktionen bietet der BASIK ein sehr gutes Preis-Leistungs-Verhältnis und erfüllt dennoch die Grundanforderungen bei der täglichen Versorgung im stationären und im häuslichen Bereich.</span><br /><br /><span>Produktdetails</span></p><br /><ul><br /><li>Farbe Mangan Grey-Metallic</li><br /><li>Mit Trommelbremse + Feststellbremse</li><br /><li>Stahlrohrrahmen</li><br /><li>Antriebsrad 24" PU, inkl. Steckachse, Aluminium Greifreifen</li><br /><li>Lenkrad 7" PU</li><br /><li>Seitenteil zum hochklappen und abnehmen</li><br /><li>Armauflage PU, einstellbar in der Länge (Desk / Long), in der Höhe (3 cm)</li><br /><li>Beinstützen, nach außen schwenkbar, abnehmbar</li><br /><li>Fußplatten in der Höhe einstellbar</li><br /><li>Fersenband verstellbar (velcro)</li><br /><li>Sitztiefe einstellbar (40 / 44 cm)</li><br /><li>Maximale Tragkraft 130kg</li><br /></ul>;;
DZ-1071XX;;;Dietz;Leichtgewichtsrollstuhl Basik+ mit TB und Feststellbremse;Mobilität > Rollstühle und Zubehör > Leichtgewichtrollstühle;359.0000;3-4 Tage;https://www.brandvital.de/dietz-leichtgewichtrollstuhl-basik-plus-mit-trommelbremse.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/r/o/rollstuhl_basik_1_1_1.jpg;;;0;0;0;0;0;0;0;0;0;0;0;;<p>Der BASIK+ ist ein leichter, faltbarer Rollstuhl. Trotz seinem geringen Gewicht und kleinem Wendekreis ist er sehr stabil und kann mit maximal 130 Kilogramm belastet werden. Um für Ihre Sicherheit zu sorgen, verfügt der BASIK+ über eine Trommelbremse und einer Feststellbremse an den Antriebsrädern. Er ist in fünf Sitzbreiten erhältlich und die Rückenhöhe kann zusätzlich eingestellt werden. Seine Arm- sowie Beinstützen können abgeschwenkt und abgenommen werden.</p><br /><p><span>Highlights:</span></p><br /><ul><br /><li>Faltbarer Leichtgewicht-Rollstuhl</li><br /><li>Mit Trommelbremse und Feststellbremse</li><br /><li>In verschiedenen Sitzbreiten erhältlich: 39 cm, 42 cm, 45 cm, 48 cm, 51 cm </li><br /><li>Sitztiefe einstellbar: 40 cm, 44 cm</li><br /><li>Sitzhöhe einstellbar: 46 cm, 48,5 cm, 51 cm</li><br /><li>Rückenhöhe: 39 - 48 cm</li><br /><li>Gesamtbreite gefaltet: 31 cm</li><br /><li>Wenderadius: 85,5 - 86,5 cm</li><br /><li>Gewicht: ca. ab 16,5 kg (bei geringster Sitzbreite und mit abmontierten Beinstützen)</li><br /><li>Farbe: Mangan Grau Metallic</li><br /><li>Rahmen aus pulverbeschichtetem Aluminium</li><br /><li>Hochklappbare Fußplatten</li><br /><li>Abschwenkbare, abnehmbare Arm- und Beinstützen</li><br /><li>Antriebsräder: 24 Zoll Durchmesser</li><br /><li>Lenkräder: 7 Zoll Durchmesser</li><br /><li>Max. Belastbarkeit: 130 kg</li><br /><li>Sitztiefe einstellbar: 40 cm, 44 cm</li><br /></ul>;;
DZ-1070XX;;107045;Dietz;Leichtgewichtsrollstuhl Basik+ mit Feststellbremse;Mobilität > Rollstühle und Zubehör > Leichtgewichtrollstühle;275.0000;3-4 Tage;https://www.brandvital.de/dietz-leichtgewichtrollstuhl-basik-plus-mit-feststellbremse.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/r/o/rollstuhl_basik_1_1_1_1.jpg;;;0;0;0;0;0;0;0;0;0;0;0;;<p>Der BASIK+ ist ein leichter, faltbarer Rollstuhl. Trotz seinem geringen Gewicht und kleinem Wendekreis ist er sehr stabil und kann mit maximal 130 Kilogramm belastet werden. Um für Ihre Sicherheit zu sorgen, verfügt der BASIK+ über eine Feststellbremse an den Antriebsrädern. Er ist in fünf Sitzbreiten erhältlich und die Rückenhöhe kann zusätzlich eingestellt werden. Seine Arm- sowie Beinstützen können abgeschwenkt und abgenommen werden.</p><br /><p><span>Highlights:</span></p><br /><ul><br /><li>Faltbarer Leichtgewicht-Rollstuhl</li><br /><li>Mit Feststellbremse</li><br /><li>In verschiedenen Sitzbreiten erhältlich: 39 cm, 42 cm, 45 cm, 48 cm, 51 cm </li><br /><li>Sitztiefe einstellbar: 40 cm, 44 cm</li><br /><li>Sitzhöhe einstellbar: 46 cm, 48,5 cm, 51 cm</li><br /><li>Rückenhöhe: 39 - 48 cm</li><br /><li>Gesamtbreite gefaltet: 31 cm</li><br /><li>Wenderadius: 85,5 - 86,5 cm</li><br /><li>Gewicht: ca. ab 15,7 kg (bei geringster Sitzbreite und mit abmontierten Beinstützen)</li><br /><li>Farbe: Mangan Grau Metallic</li><br /><li>Rahmen aus pulverbeschichtetem Aluminium</li><br /><li>Hochklappbare Fußplatten</li><br /><li>Abschwenkbare, abnehmbare Arm- und Beinstützen</li><br /><li>Antriebsräder: 24 Zoll Durchmesser</li><br /><li>Lenkräder: 7 Zoll Durchmesser</li><br /><li>Max. Belastbarkeit: 130 kg</li><br /><li>Sitztiefe einstellbar: 40 cm, 44 cm</li><br /></ul>;;
HP-36857;;36857;ResMed;12x Hypoallergenfilter / Pollenfilter für S9/ S10 Serie;Medizintechnik > CPAP - Schlafapnoe > CPAP Systeme Zubehör;59.0000;3-4 Tage;https://www.brandvital.de/hypoallergenfilter-pollenfilter-fur-s9-s10-serie.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/r/e/resmed-s9-airsense10-filter-hypoallergen.jpg;;;0;0;0;0;0;0;0;0;0;0;0;;<p><strong>Hypoallergenfilter/ Pollenfilter für S9 / S10 Airsense und Aircurve Serie von ResMed</strong></p><br /><p>Passend für folgende Gerätetypen:</p><br /><ul><br /><li>komplette S9 Serie z.B. Elite / Autoset / VPAP</li><br /><li>komplette Airsense 10 Serie z.B. Elite / Autoset</li><br /><li>komplette Aircurve 10 Serie z.B. Auto / S / ST</li><br /></ul><br /><p>Die Einatemluft wird am Therapiegerät angesaugt und durch den Gerätefilter gereinigt. Besonders Allergiker sind auf eine bestens gefilterte Atemluft angewiesen. Aus diesem Grunde raten wir Allergikern die Verwendung von Hypoallergenfiltern. Die ResMed Hypoallergenfilter haben eine bakterielle Effizienz von 99,54 %.</p><br /><p><br /> Wechseln Sie den Luftfilter bei Bedarf aus - Empfehlung von ResMed: spätestens alle 6 Monate.</p><br /><p>VE = 12 Stück </p>;;
WM-29928;;29928;Löwenstein Medical;2x Grobfilter für Prisma Serie Löwenstein;Medizintechnik > CPAP Systeme Zubehör;9;3-4 Tage;https://www.brandvital.de/2x-grobfilter-fur-prisma-serie-weinmann-lowenstein.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/l/o/loewenstein_grobfilter_prismaline_wm_29928.jpg;;;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;;<p><strong>2 graue Grobfilter / Luftfilter für LÖWENSTEINmedical Prisma Geräte</strong></p><br /><p>1 Verpackungseinheit = 2 Filter<br /><br /><br />passend für folgende LÖWENSTEINmedical Geräte:</p><br /><ul><br /><li>Prisma 20A, </li><br /><li>Prisma 20C</li><br /><li>Prisma CR</li><br /><li>Prisma 25 S/ST</li><br /><li>Prisma 25 S/C</li><br /></ul>;;
BG-40045X;09420012426727;400454;Fisher &amp; Paykel;CPAP Nasenmaske Eson;Medizintechnik > CPAP - Schlafapnoe > Nasenmasken;85.0000;1-2 Tage;https://www.brandvital.de/cpap-nasenmaske-eson.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/e/s/eson-nasenmaske-fisher-paykel.jpg;;;0;0;0;0;0;0;0;0;0;0;0;;<p><strong>CPAP Nasenmaske Eson von Fisher und Paykel</strong></p><br /><p>Leicht aufzusetzen Intuitive Anpassung erleichtert dem Patienten das Anlegen. EasyClip Befestigung Durch die EasyClip Befestigung wird schnelles Auf- und Abnehmen der Maske sichergestellt.</p><br /><p>Drei Komponenten Reinigung, Pflege und Handhabung der Eson Nasalmaske werden durch nur drei Komponenten zum Kinderspiel. Verminderte Lautstärke Minimale Luftzirkulation sowie eine reduzierte Geräuschentwicklung sichern dem Patienten und dem Partner einen erholsamen Schlaf.</p><br /><p>Flexibel Das neu integrierte Kugelgelenk bietet optimale Bewegungsfreiheit und einen perfekten Sitz – auch in der Seitenlage. Innovatives Maskenpolster Das neue Design sorgt für einen stabilen Maskensitz und effektive Dichtigkeit während des Schlafes.</p>;;
DZ-140014;;140014;Dietz;Saughaltegriff Seguro 400;Badehilfen > Einstiegshilfen und Griffsysteme > Griffsysteme;49.9500;3-4 Tage;https://www.brandvital.de/saughaltegriff-seguro-400.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/d/i/dietz_bild_bad_wc_seguro400.jpg;https://www.brandvital.de/pub/media/catalog/product/d/i/dietz_illu_badwc_haltegriff_seguro.jpg;;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;;<p><span>Maximale Sicherheit in Bad und WC. Das patentierte System zur Anzeige der Saugkraft, warnt den Anwender über ein Sichtfenster im Griff bei nicht korrekter Befestigung.</span><br /><br /><span>Produktdetails</span></p><br /><ul><br /><li>Griffmaterial ABS-Kunststoff</li><br /><li>Kein Schrauben oder Bohren</li><br /><li>Kontrollanzeige Befestigungsstatus</li><br /><li>Für zu Hause oder unterwegs</li><br /><li>Haltegrifflänge 40 cm</li><br /></ul>;;
TRE-10800002;;10800002;Trendmobil;Stockhalter für Elektromobile;Mobilität > Elektromobile und Zubehör > Elektromobil Zubehör;79.0000;3-4 Tage;https://www.brandvital.de/trendmobil-stockhalter-fur-elektromobile.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/s/t/stockhalter-fuer-trendmobil-elektromobile_1.jpg;;;0;0;0;0;0;0;0;0;0;0;0;;<p><span>Geeignet für Elektromobile mit Vierkantaufnahme, welche sich meist hinten unterm Sitz befindet. Die Befestigung ist im Lieferumfang enthalten. Fixierung der Gehstützen per Klettverschluss.</span></p>;;
TRE-10800011;;10800011;Trendmobil;Rollatorhalterung für Elektromobile;Mobilität > Elektromobile und Zubehör > Elektromobil Zubehör;169.0000;3-4 Tage;https://www.brandvital.de/trendmobil-rollatorhalterung-fur-elektromobile.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/r/o/rollatorhalterung-fuer-trendmobil-elektromobile.jpg;;;0;0;0;0;0;0;0;0;0;0;0;;<p>Diese Rollatorhalterung ist für folgende Elektromobile der Firma Trendmobil geeignet:</p><br /><ul><br /><li>Life HMV</li><br /><li>Esprit</li><br /><li>Voyage</li><br /><li>President</li><br /><li>Spirit</li><br /><li>Uranus</li><br /></ul>;;
TRE-10800013;;10800013;Trendmobil;Heckbox abschließbar;Mobilität > Elektromobile und Zubehör > Elektromobil Zubehör;199;1 Woche;https://www.brandvital.de/heckbox-abschlissbar.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/h/e/heckbox-abschliessbar-trendmobil-fuer-elektromobile.jpg;;;0;0;0;0;0;0;0;0;0;0;0;;<p><strong>Original abschliessbare Heckbox von Trendmobil</strong></p><br /><p></p><br /><p>Geeignet für alle Trendmobil Elektromobile außer dem Model Mars</p><br /><p>Inklusive Montagesatz</p><br /><p>Maße: 40 x 50 x 30cm<br />Material: Kunstoff<br />Gewicht: 3kg</p>;;
TRE-10800033;;10800033;Trendmobil;Rücklehnentasche für Elektromobile;Mobilität > Elektromobile und Zubehör > Elektromobil Zubehör;99;1 Woche;https://www.brandvital.de/rucklehnentasche-fur-elektromobile.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/r/u/rueckenlehnentasche-fuer-trendmobil-elektromobile.jpg;;;0;0;0;0;0;0;0;0;0;0;0;;<p>Diese hochwertige Rückenlehnentasche ist für folgende Elektromobile der Firma Trendmobil geeignet:</p><br /><ul><br /><li>Life HMV</li><br /><li>Life Speed</li><br /><li>Life Sport</li><br /><li>Esprit</li><br /><li>Voyage</li><br /><li>President</li><br /><li>Spirit</li><br /><li>Uranus</li><br /></ul>;;
TRE-10800021;;10800021;Trendmobil;Regenabdeckhaube für Elektromobil;Mobilität > Elektromobile und Zubehör > Elektromobil Zubehör;79.0000;1 Woche;https://www.brandvital.de/regenabdeckhaube-1-sitzer-elektromobil.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/r/e/regenabdeckhaube-1sitzer-trendmobil.jpg;https://www.brandvital.de/pub/media/catalog/product/t/m/tm_regenabdeckhaube_fg_2sitzer.jpg;;0;0;0;0;0;0;0;0;0;0;0;;<p>Die Regenabdeckhaube schützt Ihr abgestelltes Elektromobil vor Regen und Schmutz.</p><br /><p>Sie ist in zwei verschiedenen Ausführungen erhältlich (für 1-Sitzer und 2-Sitzer).</p>;;
